route_id,time20,time14,time15,time16,time17,time18,time19,dist20,dist14,dist15,dist16,dist17,dist18,dist19
399,831,831,831,831,831,831,999,10383.7,10383.6,10383.6,10383.5,10383.4,10383.3,999
400,1798.5,1798.5,1798.5,1798.5,1798.5,1798.5,999,19021.7,19021.2,19021.7,19021.7,19021.5,19021.4,999
401,1171.4,1203.4,1203.4,1203.4,1203.4,1203.4,999,13940.4,14055.7,14055.7,14055.8,14056.3,14056.3,999
402,2210.2,2210.2,2210.2,2210.2,2210.2,2210.2,999,26756.4,26756.5,26756,26755.9,26756.2,26756.3,999
403,1996.5,672,672.3,672.3,1933,1933,999,19357.7,7557.4,7561.4,7561.4,21773.2,21773.4,999
404,1293.9,1267,1272.5,1272.5,1272.5,1272.5,999,14106.1,14270,14134.3,14134.3,14134.8,14134.9,999
405,1146.8,1146.8,1146.8,1147.2,1147.2,1147.2,999,11970.4,11970.6,11970.7,13258.8,13258.8,13258.8,999
406,1267.8,2279.7,2211.2,2211.2,2211.2,2211.2,999,19892.7,26586.4,26253.1,26253.5,26254.6,26254.8,999
407,1463.3,1463.3,1454.5,1454.5,1454.5,1454.5,999,17835.9,17836.3,17808.2,17808.4,17808.5,17808.8,999
408,620.2,620.2,620.2,620.2,620.2,620.2,999,6361.4,6361.1,6361,6361.1,6361,6361,999
409,1094.4,1094.4,1094.4,1094.4,1094.4,1094.4,999,9963.4,9963.3,9963.5,9963.6,9963.7,9963.6,999
410,1951,1951,1951,1951,1951,1951,999,23385.4,23385.9,23386,23385.9,23386.2,23386.4,999
411,1895.2,1895.6,1793.7,1793.9,1793.9,1865.4,999,21883.4,21888.7,21195,21196.3,21196.8,21897.7,999
412,2487,2808.7,2799.6,2284.7,2284.7,2294.1,999,21757.1,23609.7,23583.9,20952.5,20952.2,20869,999
413,1547.7,1547.7,1547.7,1547.7,1547.7,1547.8,999,15093,15093.2,15093.7,15093.5,15093.6,15093.3,999
414,1266.2,2732.4,1266.6,1266.6,2211.1,2193.3,999,18536,27140.3,18542.3,18542.5,27622.7,27471.3,999
415,898.6,898.6,768.1,768.1,768.1,768.1,999,8741,8741,9931.9,9931.8,9932.3,9932.3,999
416,1811.4,1811.4,1866.3,1866.3,1866.3,1766,999,20015.1,20015.1,22271.1,22271.1,22271.4,22524.4,999
417,2056.9,2056.9,2056.9,2056.9,2056.9,2056.9,999,21472.5,21472.3,21472.8,21472.8,21473.6,21473.5,999
418,605.9,605.9,1425.1,1425.1,1425.1,1425.1,999,7786.8,7786.6,19884.6,19884.7,19885.5,19883,999
419,1071.9,1125.5,1098.1,1098.1,967,949.8,999,13557.7,13884.8,13883.4,13883.4,13108.7,13098.1,999
420,1882,1882,1882,1882,1882,1843.3,999,19503.1,19503.1,19502.9,19502.9,19503,19488.5,999
421,1810.2,444.7,445,445,1746.1,1746.1,999,18133.7,5445.4,5449.5,5449.5,20546.1,20546.2,999
422,2253,2252.7,2564.6,2601.6,2601.6,2624,999,26663.5,26662.5,29313.5,29041.9,29042.7,30814.4,999
423,1540.5,1541.5,1553.3,1553.3,1551.6,1551.2,999,20800.4,20186.1,20230.4,20230.4,20809.1,20279.7,999
424,1244.8,1244.8,1244.8,1244.8,1244.8,1244.8,999,11087.3,11087.5,11086.8,11086.5,11086.6,11086.8,999
425,1527.9,1527.9,1527.9,1527.9,1528.2,1528.2,999,17322.7,17322.6,17322.4,17322.3,17323.2,17323.6,999
426,1310.1,1310.1,1310.1,1310.1,1310.1,1310.1,999,11525.8,11526.6,11527,11527.1,11526.2,11526.4,999
427,945.6,945.6,945.6,945.6,942.8,942.8,999,7911,7911.6,7911.4,7911.7,7822.1,7822.1,999
428,604,604,597.9,597.9,597.9,597.9,999,5160.6,5160.6,5140.5,5140.4,5140.8,5140.5,999
